Inde #,Group,Company Name,Chemistry_Detail,Chemistry,Format,Part #,Cell Status,Cell Shape,Cycle Life,Last Cycle % OF Initial Capacity,vol. Energy Density (Wh/l),grav. Energy Density (Wh/kg),Ma Capacity (AH),Open Circuit Voltage (V),Nominal Voltage (V),Cut Off Voltage (V),Standard Discharge Current (A),Ma Constant Discharge Current (A),Crate_discharge_cyclelife,Weight (gr),Volume (CC),Fast/Quick Charge Current,Standard Charge Current (A),Crate_charge_cyclelife,t_rest_h,Length (mm),Height (mm),Width (mm),Diameter (mm),Jahr,Datenblatt,Sekundärquelle,ID / Date,Anmerkung,Charging Methode,Crate_CV_cutoff,t_cycle_DOD
ISI001,ISI001,Kokam,Nickel rich,NMC,Pouch,SLPB080085270,Active,Prismatic,3000,70,573,249,26,4.2,3.67,2.7,2.6,52,1,387,,26,2.6,1,,275,7.9,99,,2020,,,KKDS20200406BMCEL03 ,TUM,CCCV,,90%
ISI002,ISI002,Kokam,Nickel rich,NMC,Pouch,SLPB98188216P,Active,Prismatic,6000,70,338,146,30,4.2,3.7,2.7,6,600,1,780,,90,6,1,,223,9.4,199,,2020,,,,,CCCV,,90%
ISI010,ISI010,Kokam,Nickel rich,NMC,Pouch,SLPB120460330,Active,Prismatic,6000,80,425,186,150,4.2,3.7,2.7,30,300,1,3020,,150,30,1,,327,10.5,462,,2020,,,KKDS20200514BMCEL24 ,SDL_25604,CCCV,,90%
ISI011,ISI011,Kokam,Nickel rich,NMC,Pouch,SLPB140460330,Active,Prismatic,6000,70,437,189,200,4.2,3.7,2.7,40,400,1,3955,,200,40,1,,327,13.6,462,,2020,,,,,CCCV,,90%
ISI012,ISI012,Kokam,Nickel rich,NMC,Pouch,SLPB160460330,Active,Prismatic,6000,70,455,198,240,4.2,3.7,2.7,48,480,1,4510,,240,48,1,,327,15.8,462,,2020,,,KKDS20200514BMCEL26 ,SDL_21687,CCCV,,90%
ISI013,ISI013,Kokam,Nickel rich,NMC,Pouch,SLPB100216216H,Active,Prismatic,6000,70,370,159,40,4.2,3.7,2.7,8,320,1,940,,120,8,1,,227,10.3,226,,2020,,,,TUM,CCCV,,90%
ISI014,ISI014,Kokam,Nickel rich,NMC,Pouch,SLPB120216216HR2,Active,Prismatic,10000,70,348,150,46,4.2,3.7,2.7,9.2,368,1,1145,,138,9.2,1,,227,12.2,226,,2020,,,KKDS20200310BMCEL01 ,TUM,CCCV,,90%
ISI015,ISI015,Kokam,Nickel rich,NMC,Pouch,SLPB120216216G1H,Active,Prismatic,6000,70,429,180,57,4.2,3.68,2.7,11.4,456,1,1175,,171,11.4,1,,227,12.2,226,,2020,,,KKDS20200916BMCEL31 ,TUM,CCCV,,90%
ISI016,ISI016,Kokam,Nickel rich,NMC,Pouch,SLPB125255255H,Active,Prismatic,6000,70,,168,75,4.2,3.7,2.7,15,600,1,1665,,225,15,1,,265,13,268,,2020,,,,,CCCV,,90%
ISI017,ISI017,Kokam,Nickel rich,NMC,Pouch,SLPB125255255G1H,Active,Prismatic,6000,70,,181,85,4.2,3.7,2.7,17,680,1,1735,,255,17,1,,265,12.6,268,,2020,,,,,CCCV,,90%
